Marathi_Word,Frequency
पेठ,85
स्थान,85
संख्या,85
दृश्य,85
ग्रीक,85
किंग्स,85
मात्र,85
देण्यात,84
प्रकल्प,84
अजून,84
दरम्यान,84
महाविद्यालय,84
चंद्र,83
कारण,83
सप्टेंबर,83
ग्रंथ,83
२००६,83
सुद्धा,82
मोबाईल,82
३३,82
नकार,82
लोकसंख्या,82
घेतला,82
त्यांचा,82
वर,81
पोर्ट,81
जे,81
चालू,81
तलाव,81
आय,81
निर्माण,81
समावेश,81
२०१३,81
सांगितले,81
याच,80
२०१५,80
पॅरिस,80
मूळ,80
होतो,79
पंजाब,79
तेव्हा,79
पाकिस्तान,79
पी,79
भारताचा,78
याच्या,78
त्यांचे,78
२०१४,78
हार्बर,78
भागात,78
काळ,78
जात,77
कोलकाता,77
मौर्य,77
देत,77
प्रमाणात,76
राजस्थान,76
१००,76
पाने,76
असताना,76
स्पेन,76
संपूर्ण,75
यांचे,75
३४,75
वैयक्तिक,75
ठिकाणी,75
कोहलीने,75
इत्यादी,75
दिवस,75
२०२३,75
दोस्त,74
विशेष,74
विद्यापीठ,74
तेथे,74
दिवशी,74
लागू,74
लेखक,74
साधने,74
उल्लेख,73
डॉ,73
लढाईत,73
काझीरंगा,73
लहान,73
सरासरी,73
ने,73
ग्रह,72
राजा,72
सुपर,72
पाच,72
मिळाला,72
खान,72
केंद्र,72
महाराष्ट्रातील,71
इंग्रज,71
सुमारास,71
राजकीय,71
घेतली,71
टू,71
सेवा,71
इंडीज,70
सामनावीर,70
रेजिमेंट,70
गोदावरी,70
लागला,70
विरुद्ध,70
त्रुटी,69
२००५,69
नौका,69
शेवटचा,69
धर्म,69
असलेली,69
हिंदू,69
शहरात,69
पहिले,69
जोडले,68
पहिला,68
अतिशय,68
मिळवलेली,68
२०१६,68
आपला,68
स्थापना,68
असल्याचे,68
मालिका,68
मुखपृष्ठ,68
अधिकृत,67
स्टेडियम,67
तेथील,67
मिलॉट,67
शिवाजी,67
खूप,67
संयुक्त,67
निर्यात,67
मिडवे,67
यश,66
संशोधन,66
क्रेसमन,66
पंच,66
सैन्याला,66
३२,66
त,66
शोधा,66
पू,65
खाजगी,65
नदीच्या,65
वर्षे,65
अतिरिक्त,65
बद्दल,65
हैदराबाद,65
मिळाले,65
विकास,65
दुव्यात,65
ॅक्सेसदिनांक,65
मशिन,65
पाणी,65
कार्बन,65
जाणवल्याने,65
दुव्याची,65
मशिनवरील,65
वा,64
क्रमांक,64
पार्क,64
पक्ष,64
याचा,64
त्यात,64
बौद्ध,64
धावांनी,64
लाख,64
लागली,64
पालन,63
पडले,63
संस्थेचे,63
के,63
नफा,63
सुचालन,63
झालेली,63
तक्ता,63
घेऊन,63
चंद्राच्या,62
भ्रमणध्वनी,62
होऊन,62
द्या,62
ऐतिहासिक,62
घेतले,62
वाहतूक,62
साहित्य,62
नीती,62
असू,62
अर्थ,61
हुडकले,61
नाहीत,61
हॉइट,61
महाराज,61
शब्दकोशदान,61
येतात,61
गुप्तता,61
योगदानचर्चा,61
विकसक,61
चढवाविशेष,61
मदतकेंद्रअलीकडील,61
लेखचावडीदूतावास,61
मुखपृष्ठधूळपाटीकार्यशाळासाहाय्य,61
उत्तरदायित्वास,61
ऑनलाइन,61
कुकिंचा,61
साधनपेटी,61
कराप्रवेश,61
बदलअविशिष्ट,61
य,60
तोटा,60
संस्कृती,60
सरकार,60
शहरे,60
आशिया,60
बी,60
पुण्यात,60
मते,60
जर्मनीने,60
योगदान,59
स्थापन,59
दौरा,59
६०,59
करताना,59
प्रवासी,59
२०१७,59
लघु,59
मृत्यू,59
नोव्हें,59
आक्रमण,59
एक्सप्रेस,59
लाल,58
बाहेर,58
इंडियन,58
पराभव,58
अलेक्झांडरने,58
४५,58
सिंग,58
प्राचीन,58
प्रचंड,58
धावफलक,58
वंश,58
फ्रेंच,58
धोरणांचे,57
सरासरीने,57
पुढील,57
मुक्,57
ज्ञानकोशातून,57
श्री,57
आहात,57
३९,57
प्रयत्,57
युरोपीय,57
विमानतळ,57
कलम,57
विकिडाटा,57
पानातील,57
वापर,57
मोहीम,57
पृष्ठासंबंधीचे,57
३५,56
याने,56
ट्रेडमार्क,56
करण्याचा,56
उतरवाछापण्यायोग्य,56
बदलसंचिका,56
दुवापानाबद्दलची,56
आहेया,56
अंतिम,56
७२,56
पृष्ठेशाश्वत,56
नोंदणीकृत,56
येतो,56
छापा,56
प्रकल्पात,56
क्रियेटीव्ह,56
लायसन्स,56
गोपनीयता,56
शिकार,56
शेअरअलाईक,56
सहमती,56
वापरण्याच्या,56
अट्रीब्युशन,56
व्यवस्था,56
४८,55
३८,55
आढळतात,55
माहितीलेखाचा,55
बोस,55
यूआरएल,55
करणारा,55
असल्याने,55
मराठा,55
जपानने,55
वेळी,55
दुसरा,55
संपादा,55
लेखचर्चा,54
अलेक्झांडर,54
मिळाली,54
शिंदे,54
चेंडू,54
जाहीर,54
अमेरिकेच्या,54
प्रयत्न,54
प्रथम,54
साचा,54
सहा,54
४९,54
पार,53
ऑपरेशन,53
जैन,53
४४,53
फेरी,53
से,53
नावे,53
सध्या,53
३७,53
यांना,53
शतक,53
डेक्कन,53
जवळ,52
अर्थव्यवस्था,52
लेखमुखपृष्ठ,52
मागे,52
हवामान,52
रॉयल्स,52
फ्रान्स,52
जागा,52
विमान,52
असता,52
यु,52
सार्वजनिक,52
येत,52
सर्वोच्च,51
नैसर्गिक,51
हिन्दी,51
यानंतर,51
जर,51
४६,51
टी२०,51
विकिमिडिया,51
सम्राट,51
भारताची,51
एन,51
करण्याचे,51
अमेरिका,51
वर्णन,50
ताब्यात,50
बांगलादेश,50
खेळ,50
जलद,50
आलेल्या,50
रोमन,50
नव्हते,50
मागणी,50
बेळगाव,50
स्पर्धा,50
मीटर,50
शब्द,50
सामाजिक,50
पृथ्वीच्या,50
भारताचे,49
याचे,49
महत्त्वाचे,49
करीत,49
हल्ले,49
बळी,49
मूर्ती,49
चळवळ,49
रॉयल,49
यांची,49
मुख्यत्वे,49
नावाने,49
यासाठी,49
प्रमाणावर,49
जो,49
घाट,48
मानले,48
मुस्लिम,48
जरी,48
प्राणी,48
वार्षिक,48
मान्य,48
कर्णधार,48
तरीही,48
निवड,48
नद्या,48
औद्योगिक,48
यशस्वी,48
नवी,48
याची,48
प्लूटो,48
छोट्या,48
शतकात,47
खेळाडू,47
असले,47
असेल,47
उंची,47
म्हटले,47
जपान,47
चाल,47
३६,47
असलेला,47
निर्मिती,47
व्या,47
क्षेत्र,47
पंढरपूर,47
पाहून,47
४१,47
त्यातील,47
देखील,46
दुवा,46
उपयोग,46
बाद,46
फूट,46
विस्तार,46
छत्रपती,46
सात,46
२००३,46
जोशी,46
सभागृह,46
करू,46
४२,46
मॉरिसन,46
चव्हाण,46
जन्म,46
प्रवास,45
जवळजवळ,45
वर्षांखालील,45
अहवाल,45
कर्नाटक,45
एअर,45
करण्याची,45
तिसऱ्या,45
गेल्या,45
कायदा,45
करणाऱ्या,45
क्षमता,45
करता,45
उपग्रह,45
पर्यटन,45
व्यक्ती,45
पुतळा,44
संरक्षण,44
नुकसान,44
विरोध,44
२०१८,44
पहिली,44
फलंदाजी,44
नेहरू,44
प्रदेशात,44
इतकी,44
तांडा,44
ज्या,44
आंबेडकर,44
मंदिरे,44
होतात,44
फलंदाज,44
राज्यात,44
कॉरल,44
वेळा,44
मारुती,44
चे,44
संगीतकार,43
४३,43
अभियांत्रिकी,43
महायुद्ध,43
शक्यता,43
स्रोत,43
लीग,43
सत्ता,43
चीन,43
शक्य,43
०४,43
०२,43
सदस्य,43
डल,42
संगीत,42
स्वतंत्र,42
मंगळावर,42
नव्हती,42
वाढ,42
नष्ट,42
होईल,42
पोलीस,42
व्यापार,42
जाणाऱ्या,42
राज्यातील,42
मुंबईत,42
४७,42
स्पॅनिश,42
आठ,42
अपक्ष,42
पुण्यातील,42
बाबासाहेब,42
फिफा,42
संबंधित,42
दिसून,41
उपांत्य,41
विठ्ठल,41
विवानौका,41
पाठलाग,41
उपोषण,41
२००४,41
८०,41
उत्पन्न,41
सह्याद्री,41
महिन्यात,41
टक्के,41
स्वामी,41
लढाऊ,41
अंदाज,41
प्रकारच्या,41
उद्योग,41
प्रतिकार,40
जवळपास,40
जर्मनीच्या,40
१९४१,40
स्थानिक,40
माघार,40
कुमार,40
करणारे,40
यॉर्कटाउन,40
कंपनी,40
घेउन,40
जिंकून,40
मिळवला,40
रस्ता,40
फरकइति,40
खंडोबा,40
जेव्हा,40
१९९९,39
आधुनिक,39
विनायक,39
ठार,39
आयसीसी,39
गुण,39
स्वतः,39
टेकडी,39
याला,39
होऊ,39
रे,39
५५,39
तंत्रज्ञान,39
शेवटी,39
कला,39
क्षेत्रफळ,39
खूणपताका,39
हॉस्पिटल,39
ॅडमिरल,39
अभ्यास,39
केलेले,39
५१,39
भेट,39
करते,39
सुरेश,39
बंद,39
युनायटेड,38
करार,38
भर,38
मराठे,38
बनले,38
वातावरण,38
झीरो,38
औरंगाबाद,38
यातील,38
नेदरलँड्स,38
घटना,38
चढाई,38
साधारणपणे,38
महत्त्वाची,38
५७,38
५३,38
एच,38
कोहलीला,38
नावाच्या,38
मंगळाच्या,38
खाली,38
समुद्रात,38
फडके,38
७०,37
९०,37
जर्मनीत,37
चंगीझ,37
अब्ज,37
मंगोल,37
सुरुवातीला,37
वाटा,37
इतका,37
काढून,37
नेतृत्व,37
बऱ्याच,37
वर्चस्व,37
वस्तू,37
प्रशांत,37
मनसे,37
विमानवाहू,37
ठेवले,37
कोहलीच्या,37
पुस्तके,37
फायदा,37
संत,37
बातमी,36
लोकप्रिय,36
प्रकार,36
संस्कृतम्,36
संघाने,36
वारसा,36
नियंत्रण,36
याशिवाय,36
अस्तित्वात,36
का,36
भोसले,36
कवी,36
आधारित,36
रणांगण,36
५००,36
नगर,36
५२,36
किलोमीटर,36
५४,36
०३,36
राहिले,36
हजारे,36
होणाऱ्या,36
सैन्याच्या,36
ज्यात,36
०७,36
दूर,36
२०१११४,36
सैन्याची,36
येणाऱ्या,36
ई,36
लांब,36
व्याख्यानमाला,36
महत्त्वाच्या,36
अलेक्झांडरच्या,36
हौद,36
चित्र,35
डॉलर,35
रसद,35
रचना,35
भारताला,35
शहरातील,35
दर,35
अन्य,35
स्पर्धेत,35
दहशतवादी,35
२०१९,35
स्वातंत्र्य,35
यादी,35
विधानसभा,35
सोडून,35
५८,35
सन,35
करतो,35
अशोक,35
एव्हरेस्ट,35
अजूनही,35
प्रस्थापित,35
तिसरे,35
वेढा,35
मालिकेत,35
विकसित,35
लेखन,35
झालेले,35
ट्री,34
चौरस,34
जाऊ,34
नाशिक,34
वेब,34
हिंद,34
सरकारी,34
आधी,34
विक्रम,34
६८,34
राज्ये,34
निर्णय,34
कोहलीची,34
६६,34
उंच,34
संबंध,34
आसाम,34
आझाद,34
समुद्र,34
असल्यामुळे,34
धार्मिक,34
हाती,34
दिसते,34
आघाडी,34
आज,34
लक्ष,33
तेथून,33
१९४५,33
शिखर,33
एकाच,33
शतकाच्या,33
२००,33
परिसर,33
येऊन,33
भूमिका,33
होय,33
मेट्रो,33
विश्वास,33
मंगळ,33
देशातील,33
मिळवले,33
येथून,33
साम्राज्यवाद,33
ठरवले,33
जगात,33
गांधीजी,33
पाकिस्तानी,33
गांधीजींनी,33
इंडियन्स,33
स्वरूप,33
अधिकारी,32
नव्हता,32
इटली,32
अत्यंत,32
कार्यक्रम,32
अधिकार,32
तळ,32
नाईट,32
सुभाषचंद्र,32
तरण,32
प्रामुख्याने,32
मुख्यालय,32
६५,32
इतके,32
राज्याची,32
साम्राज्याचा,32
जर्मनीचे,32
राष्ट्रांनी,32
खगोलीय,32
रोड,32
६२,32
शरणागती,32
अण्णा,32
फुले,32
असणाऱ्या,32
ॲन्ड,32
गीतकार,32
नेतृत्वाखाली,32
मुक्त,32
वाडा,32
विचार,32
मानवी,32
व्यापारी,32
काबीज,32
भोजपुरी,32
वेळ,32
जंगले,32
गाड्या,31
बंगळूर,31
साजरा,31
कारगिल,31
लिमिटेड,31
शाळा,31
वर्ष,31
शहराच्या,31
राम,31
प्रशासन,31
सरदार,31
स्वारी,31
न्यूझीलंड,31
अँड,31
स्पेनच्या,31
इथे,31
महादेव,31
संग्रहालय,31
खास,31
अजिंठा,31
रायडर्स,30
बहुतेक,30
गोपाळ,30
असली,30
हत्ती,30
केप,30
महाराष्ट्रात,30
प्रभाव,30
सांस्कृतिक,30
ईस्ट,30
प्रजाती,30
दि,30
आणखी,30
गायिका,30
समुद्री,30
मुंबईच्या,30
दहा,30
मठ,30
पृथ्वी,30
सर,30
मैथिली,30
संजय,30
संचिका,30
नावाची,30
विल्मॉट,30
टॅफी,30
फ्लेचर,30
वर्षी,30
यामध्ये,30
हळूहळू,30
जर्मनीला,30
फार,30
गायक,30
घोषित,30
३००,30
माजी,30
डेरडेव्हिल्स,30
प्रगती,30
भौगोलिक,30
वायू,30
हरितगृह,30
जनरल,30
शकते,29
वाढत,29
घेत,29
ढाका,29
वासुदेव,29
वाहन,29
हातात,29
इकडे,29
पडली,29
महाराष्ट्राच्या,29
गाव,29
पवार,29
मिळते,29
२००२,29
म्हैसूर,29
राष्ट्र,29
जाऊन,29
नाईक,29
कर,29
ओळखले,29
७८,29
केलेली,29
एकदा,29
झाल्या,29
७५,29
आवश्यक,29
पूर्णपणे,29
नॅशनल,29
१९९६,29
प्रगत,28
दिसतो,28
मून,28
इंधन,28
वाघांची,28
एकमेव,28
पंतप्रधान,28
दर्शन,28
प्रकाशित,28
शंकर,28
प्रकारची,28
मिळून,28
लोकांनी,28
दिशेने,28
बाजूने,28
उच्च,28
मुंबईतील,28
गणेशोत्सव,28
चढवला,28
मैल,28
सामन्यांत,28
म्हणजेच,28
पुत्र,28
दृष्टीने,28
कोरिया,28
पेशवे,28
झाल्याचे,28
सुविधा,28
सुभाषबाबू,28
कसे,28
सुटका,28
महाविद्यालये,28
आंदोलन,28
भूगोल,28
बरीच,28
नागरी,28
त्याच,28
अंतर,28
सर्वोत्तम,28
मतदारसंघ,28
ख्रिश्चन,28
चिनी,28
कोणत्याही,27
देऊन,27
शासकीय,27
जीवन,27
ठिकाणे,27
अंदाजे,27
विनाशिका,27
ला,27
महासागरातील,27
मंडळ,27
मराठ्यांच्या,27
विमानांनी,27
वर्षात,27
वगैरे,27
परिस्थिती,27
पडला,27
गोवा,27
क्षेत्रात,27
चंगीझने,27
फोर्स,27
पुराण,27
खर्च,27
किल्ले,27
शक्तिशाली,27
ताबा,27
आफ्रिकेतील,27
बळवंत,27
नावाचा,27
युरोप,27
घेण्यात,27
कधी,27
०८,27
भाऊ,27
२०२२,27
५६,27
कॉलेज,27
मिळतात,27
संघाला,27
राजीनामा,27
बॉम्बफेकी,27
नवा,27
पाठिंबा,27
येणार,27
महाराष्ट्राची,27
सेनापती,27
वसाहती,27
अमेरिकेने,27
कडक,27
प्र,27
पावले,27
झीलंड,27
असेही,27
जखमी,27
संधी,27
ओ,27
सण,27
विजेता,27
असत,27
समाविष्ट,27
१९९०,27
भागातील,26
दिसतात,26
९३,26
हजार,26
वापरले,26
पाऊस,26
ठिकाण,26
तिथे,26
माहात्म्य,26
धावांचा,26
८४,26
चित्रपटगीत,26
मला,26
रस्ते,26
०५,26
राजीव,26
नेपालीनेपाल,26
साखळी,26
पदार्थ,26
लक्षात,26
२रा,26
मरण,26
एकत्र,26
आशियातील,26
ठाणे,26
५९,26
गिल,26
जंगल,26
एल,26
अनिल,26
उगम,26
मालिकेमध्ये,26
ग्रामीण,26
अध्यक्ष,26
काढला,26
उमेदवार,26
आलेले,26
१९९८,26
बाग,26
२००१,26
दुसरी,26
विश्व,26
बेत,26
घनता,26
सत्याग्रह,26
झालेला,25
पाठवले,25
लष्करी,25
टॉरपेडोफेकी,25
रात्री,25
करावा,25
शतके,25
१९४२,25
युरोपातील,25
वर्षांपूर्वी,25
नारायण,25
नमूद,25
रशियन,25
वाचा,25
तह,25
उत्पादन,25
विज्ञान,25
पर्वत,25
१९४४,25
टाउन,25
विदर्भ,25
गोविंद,25
मंगळावरील,25
परिसरात,25
शेती,25
हिटलरने,25
देव,25
सीमा,25
प्रकारचे,25
नोंद,25
घोषणा,25
राहिली,25
थंड,25
मत,25
सिद्ध,25
वसंत,25
शहराचे,25
टिळक,25
उंचीवर,25
गंभीर,25
सहभागी,25
जुने,25
चित्रे,25
मार्स,25
सूर्य,25
८२,25
वास्तव्य,25
कामगिरी,25
डाव,25
पूर्वी,25
सातारा,25
एरलाइन्स,24
प्रकाश,24
देशमुख,24
ओबामा,24
जपानच्या,24
ठेवण्यात,24
सोलापूर,24
आग्नेय,24
जपानला,24
९१,24
व्ही,24
महत्त्व,24
प्रश्न,24
जोहान्सबर्ग,24
कायम,24
संदेश,24
देऊळ,24
उत्सव,24
गोखले,24
बाजूला,24
येईल,24
टाटा,24
जवाहरलाल,24
यावर,24
८३,24
६३,24
सगळ्यात,24
पर्शियन,24
आणले,24
६४,24
केलेला,24
१९३९,24
कथा,24
चाँद,24
ठरले,24
सागरी,24
नाबाद,24
क्र,24
दक्षिणेस,24
झाल्यानंतर,24
८६,24
वेगवेगळ्या,24
कोकण,24
करावे,24
जॉन,24
खालील,24
१९४०,24
सा,24
पैकी,24
जॉर्ज,23
विशेषतः,23
पंडित,23
पत्करली,23
महानगरपालिका,23
गेलेल्या,23
शेन,23
राष्ट्रे,23
१९९२,23
सामील,23
साम्राज्यवादी,23
ठरला,23
पेक्षा,23
जावे,23
चंद्रभागा,23
पक्षी,23
इंग्रजांनी,23
१९७०,23
बाजू,23
रशिया,23
ची,23
शासन,23
फौज,23
तसे,23
इन्स्टिट्यूट,23
टाइम्स,23
आई,23
नेते,23
मान्यता,23
करण्याच्या,23
स्थानक,23
वैद्यकीय,23
सरकारच्या,23
प्रक्रिया,23
नव्या,23
तत्कालीन,23
आयर्लंड,23
कोंकणी,23
इतिहासातील,23
चालून,23
०६,23
यान,23
अनुवाद,23
देशांनी,23
कॅनडा,23
सुचवा,23
स्वतःच्या,23
९२,23
देशपांडे,23
बाबतीत,23
केंद्रीय,23
साम्राज्याची,23
तयारी,23
क्रुझर,23
चार्जर्स,23
१९८६,23
चा,23
युद्धाच्या,23
पटेल,23
झुइकाकु,23
मुघल,23
नी,23
अमेरिकेचे,23
प्रा,22
भूमध्य,22
आजही,22
प्रकारे,22
अभयारण्य,22
नायक,22
१०५,22
देशांच्या,22
विभागणी,22
घाणेकर,22
सुभाषबाबूंनी,22
आंध्र,22
सिटी,22
शहरावर,22
घातला,22
सर्वप्रथम,22
इटालियन,22
वाघांच्या,22
पडतो,22
प्रकाशन,22
स्पेनने,22
महत्त्वाचा,22
रुपये,22
जाती,22
सध्याच्या,22
दरवर्षी,22
वास्तू,22
चंद्रावर,22
गुजरात,22
शोकाकु,22
०९,22
कारणे,22
देशाच्या,22
ब्रिटिशांनी,22
बँक,22
लवकरच,22
भीमा,22
योजना,22
कक्षा,22
अश्या,22
मुंबईला,22
टास्क,22
उजव्या,22
वाढत्या,22
जळगाव,22
पुढच्या,22
६७,22
तेल,22
मोहाली,22
नियोशो,22
सुधारणा,22
चिंचवड,22
शहरांमध्ये,22
सोय,22
ग,22
सैनिकांना,22
संघात,22
मग,22
शहराची,22
जाधव,22
स्मारक,22
महानगर,22
शॉन,22
११५,22
लोकांना,22
होणे,22
सिंधू,22
६१,22
आग,21
खेळला,21
आळी,21
भरती,21
घेणे,21
संरक्षित,21
सेंटर,21
फुटबॉल,21
चेंडूंत,21
गोंयची,21
दर्जा,21
समोर,21
उपनगरीय,21
निश्चित,21
हॉटेल,21
जंगलात,21
वर्ल्ड,21
उदय,21
स्थळे,21
१ला,21
वर्षांत,21
बरेच,21
वाघांचे,21
पानिपतच्या,21
महोत्सव,21
मुलगा,21
शहराचा,21
कंपन्या,21
यजमान,21
एफ,21
घटनाक्रम,21
क्रमांकावर,21
त्यासाठी,21
प्रांत,21
शोहो,21
गुप्त,21
बेळगांव,21
उत्सर्जन,21
बर्फ,21
सचिन,21
नाना,21
पाकिस्तानने,21
केरळ,21
खडक,21
सतत,21
युद्धाची,21
जिंकली,21
७९,21
आत,21
योग्य,21
प्लूटोला,21
खंड,21
अंतरावर,21
लिहिले,21
राज्याच्या,21
प्रतीक,21
बाजार,21
१९९१,21
लांबी,21
शेवटच्या,21
आढळून,21
दुसर्,21
सैन्याचा,21
९८,21
गुंतवणूक,21
पायदळ,21
७७,21
बिली,21
तोंड,21
नांदेड,21
त्यास,21
भागीदारी,21
बहुतांशी,21
केन्या,20
कोल्हापूर,20
महिने,20
अनुमान,20
त्रिकोणी,20
ललित,20
शर्मा,20
चंद्राची,20
त्यावर,20
विशिष्ट,20
बांधले,20
आढळते,20
लक्ष्य,20
व्यावसायिक,20
समुद्राच्या,20
साठी,20
४००,20
आपल्याला,20
कोलंबो,20
मुंबईचे,20
दिलेल्या,20
ठरली,20
पुस्तक,20
सरकारला,20
नावाचे,20
लावला,20
विद्यार्थी,20
२०००,20
ठेवली,20
पृष्ठ,20
वेगळे,20
जैविक,20
सोबत,20
क्रमांकाचा,20
आल्या,20
गणपतीच्या,20
७१,20
मारले,20
माझ्या,20
तरुण,20
पूजा,20
परदेशी,20
ओळख,20
खोरे,20
धोरण,20
महाराष्ट्राचे,20
मान,20
प्रशासकीय,20
वे,20
विरोधात,20
वाद,20
होणार,20
असल्याचा,20
स्पष्ट,20
महामार्ग,20
संबोधले,20
आयुर्वेद,20
वेरूळ,20
जिवंत,20
१९९७,20
७३,20
पात्र,20
रत्,20
अगदी,20
९९,20
अवघड,20
८७,20
मतदार,20
चौ,20
मेक्सिको,20
असावे,20
रद्द,20
देवी,20
नागरिक,20
नाझी,20
निलगिरी,20
मिळत,20
१९७४,20
जर्मनीची,20
पूर्वेकडे,20
पळ,20
गाडी,20
त्यामध्ये,19
खेळी,19
बदलून,19
एखाद्या,19
निजाम,19
गांधींनी,19
शिवाय,19
शहरी,19
१९८३,19
साम्राज्याच्या,19
लेणे,19
गोल,19
रूपात,19
व्यवस्थापन,19
ग्रीस,19
रमेश,19
माल,19
बंगलोर,19
मुठा,19
पिंपरी,19
घोडदळ,19
असला,19
धावांची,19
वाहून,19
झाल्याने,19
झिम्बाब्वे,19
राहिला,19
अलेक्झांडरला,19
सुरक्षा,19
अक्ष,19
कविता,19
वस्तुमान,19
गेट,19
सैनिकांनी,19
सेंट,19
अकरा,19
अमरावती,19
लागतो,19
प्रजासत्ताक,19
प्रसार,19
निवडणूक,19
पानिपत,19
उदयास,19
